--------------------2024-May-21 07:52:06------------------------------------
2024-May-21 09:15:02 |NIFTY24523-22200-22500CE |TRDPARITY:215 |QTY:1 |ParityWas:185 |OpnCls:1 |OrdNumL1:1000000000016082 |OrdNumL2:1100000000009828 |OrdNumL3:2100000000010778 |OrdNumL4:2000000000010150 |M2M:40.50
2024-May-21 09:15:02 |NIFTY24523-22000-22500CE |TRDPARITY:305 |QTY:1 |ParityWas:225 |OpnCls:1 |OrdNumL1:1000000000016172 |OrdNumL2:1100000000009926 |OrdNumL3:2100000000010848 |OrdNumL4:2000000000010220 |M2M:101.25
2024-May-21 09:15:02 |NIFTY24523-22200-22500CE |TRDPARITY:205 |QTY:1 |ParityWas:185 |OpnCls:1 |OrdNumL1:1000000000016425 |OrdNumL2:1100000000010224 |OrdNumL3:2100000000011050 |OrdNumL4:2000000000010407 |M2M:139.25
2024-May-21 09:15:02 |NIFTY24523-22000-22500CE |TRDPARITY:705 |QTY:1 |ParityWas:225 |OpnCls:1 |OrdNumL1:1000000000016503 |OrdNumL2:1100000000010282 |OrdNumL3:2100000000011119 |OrdNumL4:2000000000010462 |M2M:300.00
2024-May-21 09:15:02 |NIFTY24523-22150-22500CE |TRDPARITY:130 |QTY:1 |ParityWas:80 |OpnCls:2 |OrdNumL1:1100000000011397 |OrdNumL2:1100000000011398 |OrdNumL3:2100000000012030 |OrdNumL4:2100000000012031 |M2M:312.50
2024-May-21 09:15:03 |NIFTY24523-22650-22500PE |TRDPARITY:180 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:2000000000011857 |OrdNumL2:2100000000012438 |OrdNumL3:1100000000011888 |OrdNumL4:1000000000017982 |M2M:347.50
2024-May-21 09:15:03 |NIFTY24523-22650-22550PE |TRDPARITY:70 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:2000000000011858 |OrdNumL2:2100000000012441 |OrdNumL3:1100000000011890 |OrdNumL4:1000000000017983 |M2M:347.50
2024-May-21 09:15:03 |NIFTY24523-22600-22500PE |TRDPARITY:220 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:2000000000012468 |OrdNumL2:2100000000013076 |OrdNumL3:1100000000012535 |OrdNumL4:1000000000018569 |M2M:388.75
2024-May-21 09:15:03 |NIFTY24523-22600-22500PE |TRDPARITY:230 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:2000000000012477 |OrdNumL2:2100000000013090 |OrdNumL3:1100000000012547 |OrdNumL4:1000000000018578 |M2M:432.50
2024-May-21 09:15:03 |NIFTY24523-22600-22500PE |TRDPARITY:543 |QTY:2 |ParityWas:55 |OpnCls:2 |OrdNumL1:2000000000012463 |OrdNumL2:2100000000013178 |OrdNumL3:1100000000012600 |OrdNumL4:1000000000018641 |M2M:676.50
2024-May-21 09:15:03 |NIFTY24523-22600-22500PE |TRDPARITY:225 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:2000000000012660 |OrdNumL2:2100000000013244 |OrdNumL3:1100000000012627 |OrdNumL4:1000000000018674 |M2M:719.00
2024-May-21 09:15:03 |NIFTY24523-22400-22550CE |TRDPARITY:-320 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1000000000020255 |OrdNumL2:1100000000014077 |OrdNumL3:2100000000014793 |OrdNumL4:2000000000014448 |M2M:624.25
