--------------------2024-May-21 07:45:05------------------------------------
2024-May-21 09:15:03 |NIFTY24523-22400-22600CE |TRDPARITY:126 |QTY:4 |ParityWas:60 |OpnCls:2 |OrdNumL1:1000000000020102 |OrdNumL2:1000000000020251 |OrdNumL3:2000000000014440 |OrdNumL4:2000000000014441 |M2M:64.00
2024-May-21 09:15:04 |NIFTY24523-22600-22500PE |TRDPARITY:315 |QTY:2 |ParityWas:70 |OpnCls:2 |OrdNumL1:2000000000019457 |OrdNumL2:2100000000020424 |OrdNumL3:1100000000019633 |OrdNumL4:1000000000025680 |M2M:195.00
2024-May-21 09:15:04 |NIFTY24523-22600-22500PE |TRDPARITY:520 |QTY:4 |ParityWas:70 |OpnCls:2 |OrdNumL1:2000000000019635 |OrdNumL2:2100000000020737 |OrdNumL3:1100000000019921 |OrdNumL4:1000000000025995 |M2M:662.00
2024-May-21 09:15:04 |NIFTY24523-22400-22600CE |TRDPARITY:-305 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:1000000000028588 |OrdNumL2:1000000000028590 |OrdNumL3:2000000000022258 |OrdNumL4:2000000000022259 |M2M:570.25
2024-May-21 09:15:04 |NIFTY24523-22400-22600CE |TRDPARITY:70 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:1000000000028804 |OrdNumL2:1000000000028828 |OrdNumL3:2000000000022487 |OrdNumL4:2000000000022488 |M2M:572.25
2024-May-21 09:15:04 |NIFTY24523-22400-22600CE |TRDPARITY:100 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:1000000000028829 |OrdNumL2:1000000000028865 |OrdNumL3:2000000000022520 |OrdNumL4:2000000000022521 |M2M:581.75
2024-May-21 09:15:04 |NIFTY24523-22400-22550CE |TRDPARITY:70 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1000000000029154 |OrdNumL2:1100000000023050 |OrdNumL3:2100000000023595 |OrdNumL4:2000000000022771 |M2M:585.00
2024-May-21 09:15:04 |NIFTY24523-22800-22600PE |TRDPARITY:250 |QTY:1 |ParityWas:140 |OpnCls:1 |OrdNumL1:2000000000022674 |OrdNumL2:2000000000022930 |OrdNumL3:1000000000029395 |OrdNumL4:1000000000029396 |M2M:634.50
2024-May-21 09:15:05 |NIFTY24523-22400-22600CE |TRDPARITY:45 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1000000000031792 |OrdNumL2:1000000000031847 |OrdNumL3:2000000000025344 |OrdNumL4:2000000000025345 |M2M:631.00
2024-May-21 09:15:05 |NIFTY24523-22400-22600CE |TRDPARITY:55 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1000000000034665 |OrdNumL2:1000000000034671 |OrdNumL3:2000000000028337 |OrdNumL4:2000000000028338 |M2M:630.00
2024-May-21 09:15:05 |NIFTY24523-22400-22600CE |TRDPARITY:65 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1000000000034677 |OrdNumL2:1000000000034709 |OrdNumL3:2000000000028378 |OrdNumL4:2000000000028379 |M2M:631.50
