--------------------2024-May-21 07:50:07------------------------------------
2024-May-21 09:15:12 |FINNIFTY24521-21750-21450PE |TRDPARITY:70 |QTY:1 |ParityWas:70 |OpnCls:2 |OrdNumL1:1900000000416968 |OrdNumL2:1900000000417012 |OrdNumL3:1200000000442865 |OrdNumL4:1200000000442866 |M2M:942.80
2024-May-21 09:15:12 |FINNIFTY24521-21750-21450PE |TRDPARITY:70 |QTY:1 |ParityWas:70 |OpnCls:2 |OrdNumL1:1900000000417021 |OrdNumL2:1900000000417058 |OrdNumL3:1200000000442881 |OrdNumL4:1200000000442882 |M2M:948.00
2024-May-21 09:15:20 |MIDCPNIFTY24MAY-11375-11350PE |TRDPARITY:65 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1300000000055748 |OrdNumL2:1300000000056942 |OrdNumL3:1400000000078939 |OrdNumL4:1400000000078941 |M2M:963.00
2024-May-21 09:15:21 |NIFTY24523-22050-22550CE |TRDPARITY:145 |QTY:1 |ParityWas:105 |OpnCls:1 |OrdNumL1:1000000000117975 |OrdNumL2:1100000000120026 |OrdNumL3:2100000000116617 |OrdNumL4:2000000000114552 |M2M:984.00
2024-May-21 09:15:21 |NIFTY24523-22050-22500CE |TRDPARITY:190 |QTY:1 |ParityWas:175 |OpnCls:1 |OrdNumL1:1000000000119701 |OrdNumL2:1100000000121915 |OrdNumL3:2100000000118697 |OrdNumL4:2000000000116465 |M2M:1015.25
2024-May-21 09:15:21 |NIFTY24523-22050-22500CE |TRDPARITY:185 |QTY:1 |ParityWas:175 |OpnCls:1 |OrdNumL1:1000000000120606 |OrdNumL2:1100000000122263 |OrdNumL3:2100000000118996 |OrdNumL4:2000000000116725 |M2M:1045.25
2024-May-21 09:15:21 |MIDCPNIFTY24MAY-11350-11250PE |TRDPARITY:180 |QTY:1 |ParityWas:105 |OpnCls:1 |OrdNumL1:1300000000060439 |OrdNumL2:1300000000060453 |OrdNumL3:1400000000082603 |OrdNumL4:1400000000082604 |M2M:1148.75
2024-May-21 09:15:21 |MIDCPNIFTY24MAY-11350-11250PE |TRDPARITY:180 |QTY:1 |ParityWas:105 |OpnCls:1 |OrdNumL1:1300000000060457 |OrdNumL2:1300000000060477 |OrdNumL3:1400000000082622 |OrdNumL4:1400000000082623 |M2M:1252.25
2024-May-21 09:15:22 |NIFTY24523-22050-22500CE |TRDPARITY:175 |QTY:1 |ParityWas:175 |OpnCls:1 |OrdNumL1:1000000000123649 |OrdNumL2:1100000000125386 |OrdNumL3:2100000000121941 |OrdNumL4:2000000000119704 |M2M:1279.75
2024-May-21 09:15:23 |NIFTY24523-22050-22500CE |TRDPARITY:190 |QTY:1 |ParityWas:175 |OpnCls:1 |OrdNumL1:1000000000126601 |OrdNumL2:1100000000129186 |OrdNumL3:2100000000125577 |OrdNumL4:2000000000123223 |M2M:1311.00
2024-May-21 09:15:24 |NIFTY24523-22050-22500CE |TRDPARITY:180 |QTY:1 |ParityWas:175 |OpnCls:1 |OrdNumL1:1000000000132067 |OrdNumL2:1100000000136683 |OrdNumL3:2100000000131835 |OrdNumL4:2000000000129490 |M2M:1339.75
2024-May-21 09:15:26 |NIFTY24523-22150-22550CE |TRDPARITY:100 |QTY:1 |ParityWas:100 |OpnCls:1 |OrdNumL1:1100000000149055 |OrdNumL2:1100000000149091 |OrdNumL3:2100000000143474 |OrdNumL4:2100000000143475 |M2M:1350.50
2024-May-21 09:15:29 |NIFTY24523-21900-22500CE |TRDPARITY:190 |QTY:1 |ParityWas:110 |OpnCls:2 |OrdNumL1:1100000000168787 |OrdNumL2:1100000000173434 |OrdNumL3:2100000000163491 |OrdNumL4:2100000000163492 |M2M:1369.75
2024-May-21 09:15:33 |FINNIFTY24521-21750-21400PE |TRDPARITY:115 |QTY:1 |ParityWas:55 |OpnCls:1 |OrdNumL1:1900000000975437 |OrdNumL2:1900000000983923 |OrdNumL3:1200000001030765 |OrdNumL4:1200000001030767 |M2M:1401.35
2024-May-21 09:15:33 |NIFTY24MAY-22200-22500CE |TRDPARITY:260 |QTY:1 |ParityWas:250 |OpnCls:1 |OrdNumL1:1200000001043674 |OrdNumL2:1200000001043961 |OrdNumL3:1200000001043963 |OrdNumL4:1200000001043965 |M2M:1443.85
2024-May-21 09:15:33 |NIFTY24MAY-22200-22500CE |TRDPARITY:265 |QTY:1 |ParityWas:250 |OpnCls:1 |OrdNumL1:1200000001043968 |OrdNumL2:1200000001047864 |OrdNumL3:1200000001047865 |OrdNumL4:1200000001047867 |M2M:1487.60
2024-May-21 09:15:34 |NIFTY24MAY-22300-22450CE |TRDPARITY:80 |QTY:1 |ParityWas:75 |OpnCls:2 |OrdNumL1:1200000001070966 |OrdNumL2:1200000001071606 |OrdNumL3:1200000001071607 |OrdNumL4:1200000001071608 |M2M:1482.60
2024-May-21 09:15:37 |NIFTY24523-22150-22550CE |TRDPARITY:145 |QTY:1 |ParityWas:100 |OpnCls:1 |OrdNumL1:1100000000238235 |OrdNumL2:1100000000239249 |OrdNumL3:2100000000220462 |OrdNumL4:2100000000220463 |M2M:1504.60
2024-May-21 09:15:37 |NIFTY24523-22150-22550CE |TRDPARITY:130 |QTY:1 |ParityWas:100 |OpnCls:1 |OrdNumL1:1100000000239250 |OrdNumL2:1100000000239447 |OrdNumL3:2100000000220677 |OrdNumL4:2100000000220679 |M2M:1522.85
2024-May-21 09:15:42 |NIFTY24523-22150-22550CE |TRDPARITY:180 |QTY:1 |ParityWas:100 |OpnCls:1 |OrdNumL1:1100000000275590 |OrdNumL2:1100000000276800 |OrdNumL3:2100000000252670 |OrdNumL4:2100000000252672 |M2M:1553.60
2024-May-21 09:15:43 |NIFTY24523-22200-22500CE |TRDPARITY:150 |QTY:1 |ParityWas:150 |OpnCls:1 |OrdNumL1:1000000000270449 |OrdNumL2:1100000000284321 |OrdNumL3:2100000000258946 |OrdNumL4:2000000000253434 |M2M:1576.60
2024-May-21 09:15:48 |FINNIFTY24521-21250-21500CE |TRDPARITY:75 |QTY:1 |ParityWas:50 |OpnCls:1 |OrdNumL1:1200000001423423 |OrdNumL2:1200000001426251 |OrdNumL3:1900000001313263 |OrdNumL4:1900000001313267 |M2M:1593.80
2024-May-21 09:15:50 |NIFTY24523-21800-22500CE |TRDPARITY:265 |QTY:1 |ParityWas:225 |OpnCls:1 |OrdNumL1:1000000000310738 |OrdNumL2:1100000000336001 |OrdNumL3:2100000000301751 |OrdNumL4:2000000000298085 |M2M:1640.30
2024-May-21 09:15:56 |FINNIFTY24521-21300-21450CE |TRDPARITY:45 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000001580411 |OrdNumL2:1200000001585103 |OrdNumL3:1900000001457025 |OrdNumL4:1900000001457027 |M2M:1640.70
2024-May-21 09:16:02 |NIFTY24523-22300-22550CE |TRDPARITY:95 |QTY:1 |ParityWas:90 |OpnCls:1 |OrdNumL1:1100000000427871 |OrdNumL2:1100000000427908 |OrdNumL3:2100000000379550 |OrdNumL4:2100000000379551 |M2M:1651.95
2024-May-21 09:16:02 |FINNIFTY24521-21400-21500CE |TRDPARITY:50 |QTY:1 |ParityWas:45 |OpnCls:1 |OrdNumL1:1200000001774132 |OrdNumL2:1200000001775484 |OrdNumL3:1900000001626260 |OrdNumL4:1900000001626264 |M2M:1661.55
2024-May-21 09:16:04 |NIFTY24MAY-22200-22500CE |TRDPARITY:330 |QTY:1 |ParityWas:250 |OpnCls:1 |OrdNumL1:1200000001788583 |OrdNumL2:1200000001813355 |OrdNumL3:1200000001813357 |OrdNumL4:1200000001813359 |M2M:1721.55
