--------------------2024-May-21 07:50:08------------------------------------
2024-May-21 09:21:12 |BANKNIFTY24522-48900-48200PE |TRDPARITY:0 |QTY:2 |ParityWas:135 |OpnCls:2 |OrdNumL1:1800000004631948 |OrdNumL2:1700000004721218 |OrdNumL3:1500000004697861 |OrdNumL4:1600000004611774 |M2M:646.20
2024-May-21 09:21:12 |BANKNIFTY24522-48800-48100PE |TRDPARITY:17 |QTY:2 |ParityWas:130 |OpnCls:2 |OrdNumL1:1700000004717913 |OrdNumL2:1800000004636192 |OrdNumL3:1600000004611777 |OrdNumL4:1500000004697863 |M2M:646.20
2024-May-21 09:21:12 |BANKNIFTY24522-47100-48100CE |TRDPARITY:135 |QTY:2 |ParityWas:310 |OpnCls:1 |OrdNumL1:1600000004607557 |OrdNumL2:1600000004611779 |OrdNumL3:1800000004636195 |OrdNumL4:1800000004636196 |M2M:646.20
2024-May-21 09:21:12 |BANKNIFTY24522-47100-48200CE |TRDPARITY:50 |QTY:2 |ParityWas:310 |OpnCls:1 |OrdNumL1:1600000004607558 |OrdNumL2:1500000004697865 |OrdNumL3:1700000004721221 |OrdNumL4:1800000004636200 |M2M:646.20
2024-May-21 09:21:12 |BANKNIFTY24522-47100-48000CE |TRDPARITY:95 |QTY:2 |ParityWas:315 |OpnCls:1 |OrdNumL1:1600000004607562 |OrdNumL2:1500000004697866 |OrdNumL3:1700000004721225 |OrdNumL4:1800000004636204 |M2M:646.20
2024-May-21 09:21:12 |BANKNIFTY24522-48900-48000PE |TRDPARITY:45 |QTY:1 |ParityWas:145 |OpnCls:2 |OrdNumL1:1800000004631951 |OrdNumL2:1700000004721219 |OrdNumL3:1500000004697862 |OrdNumL4:1600000004611776 |M2M:646.20
2024-May-21 09:21:55 |BANKNIFTY24522-47300-48100CE |TRDPARITY:532 |QTY:2 |ParityWas:280 |OpnCls:1 |OrdNumL1:1600000005466694 |OrdNumL2:1600000005495870 |OrdNumL3:1800000005339694 |OrdNumL4:1800000005339695 |M2M:768.00
2024-May-21 09:22:39 |BANKNIFTY24522-46500-48000CE |TRDPARITY:300 |QTY:1 |ParityWas:100 |OpnCls:2 |OrdNumL1:1600000006449792 |OrdNumL2:1500000006575828 |OrdNumL3:1700000006206507 |OrdNumL4:1800000006122107 |M2M:769.80
2024-May-21 09:23:46 |BANKNIFTY24522-46500-48000CE |TRDPARITY:210 |QTY:2 |ParityWas:95 |OpnCls:2 |OrdNumL1:1600000007387231 |OrdNumL2:1500000007548922 |OrdNumL3:1700000007046635 |OrdNumL4:1800000006948888 |M2M:747.90
2024-May-21 09:24:40 |BANKNIFTY24522-46500-48000CE |TRDPARITY:365 |QTY:2 |ParityWas:80 |OpnCls:2 |OrdNumL1:1600000008054834 |OrdNumL2:1500000008240905 |OrdNumL3:1700000007670085 |OrdNumL4:1800000007550525 |M2M:772.50
2024-May-21 09:29:53 |BANKNIFTY24522-47000-48000CE |TRDPARITY:340 |QTY:1 |ParityWas:330 |OpnCls:1 |OrdNumL1:1500000012192661 |OrdNumL2:1500000012193596 |OrdNumL3:1700000011429666 |OrdNumL4:1700000011429667 |M2M:802.65
2024-May-21 09:30:58 |BANKNIFTY24522-48900-48100PE |TRDPARITY:320 |QTY:2 |ParityWas:135 |OpnCls:2 |OrdNumL1:1800000012272936 |OrdNumL2:1800000012275227 |OrdNumL3:1600000012848180 |OrdNumL4:1600000012848182 |M2M:903.45
2024-May-21 09:30:58 |BANKNIFTY24522-48900-48000PE |TRDPARITY:355 |QTY:2 |ParityWas:145 |OpnCls:2 |OrdNumL1:1800000012272946 |OrdNumL2:1700000012440030 |OrdNumL3:1500000013250515 |OrdNumL4:1600000012848196 |M2M:903.45
2024-May-21 09:30:58 |BANKNIFTY24522-48900-48100PE |TRDPARITY:250 |QTY:2 |ParityWas:135 |OpnCls:2 |OrdNumL1:1800000012275274 |OrdNumL2:1800000012276405 |OrdNumL3:1600000012849220 |OrdNumL4:1600000012849221 |M2M:962.25
2024-May-21 09:30:58 |BANKNIFTY24522-48900-48000PE |TRDPARITY:285 |QTY:2 |ParityWas:145 |OpnCls:2 |OrdNumL1:1800000012275297 |OrdNumL2:1700000012441149 |OrdNumL3:1500000013251537 |OrdNumL4:1600000012849228 |M2M:962.25
2024-May-21 09:31:18 |BANKNIFTY24522-47000-48000CE |TRDPARITY:-140 |QTY:2 |ParityWas:350 |OpnCls:1 |OrdNumL1:1500000013517468 |OrdNumL2:1500000013521694 |OrdNumL3:1700000012701697 |OrdNumL4:1700000012701698 |M2M:534.00
2024-May-21 09:31:18 |BANKNIFTY24522-48500-48100PE |TRDPARITY:-125 |QTY:2 |ParityWas:105 |OpnCls:2 |OrdNumL1:1800000012525086 |OrdNumL2:1800000012527455 |OrdNumL3:1600000013115343 |OrdNumL4:1600000013115344 |M2M:534.00
2024-May-21 09:31:18 |BANKNIFTY24522-46500-48000CE |TRDPARITY:-115 |QTY:1 |ParityWas:465 |OpnCls:1 |OrdNumL1:1600000013110869 |OrdNumL2:1500000013521699 |OrdNumL3:1700000012701700 |OrdNumL4:1800000012527462 |M2M:534.00
2024-May-21 09:31:18 |BANKNIFTY24522-48600-48100PE |TRDPARITY:-117 |QTY:2 |ParityWas:115 |OpnCls:2 |OrdNumL1:1700000012698484 |OrdNumL2:1800000012527459 |OrdNumL3:1600000013115346 |OrdNumL4:1500000013521697 |M2M:534.00
2024-May-21 09:31:18 |BANKNIFTY24522-48700-48000PE |TRDPARITY:-85 |QTY:2 |ParityWas:125 |OpnCls:2 |OrdNumL1:1800000012525962 |OrdNumL2:1700000012701701 |OrdNumL3:1500000013521701 |OrdNumL4:1600000013115349 |M2M:534.00
2024-May-21 09:31:18 |BANKNIFTY24522-46500-48000CE |TRDPARITY:-95 |QTY:2 |ParityWas:465 |OpnCls:1 |OrdNumL1:1600000013110868 |OrdNumL2:1500000013521702 |OrdNumL3:1700000012701704 |OrdNumL4:1800000012527464 |M2M:534.00
2024-May-21 09:32:27 |BANKNIFTY24522-47000-48000CE |TRDPARITY:260 |QTY:1 |ParityWas:155 |OpnCls:2 |OrdNumL1:1500000014631365 |OrdNumL2:1500000014631718 |OrdNumL3:1700000013796443 |OrdNumL4:1700000013796445 |M2M:542.40
2024-May-21 09:33:17 |BANKNIFTY24522-46500-48000CE |TRDPARITY:165 |QTY:1 |ParityWas:70 |OpnCls:2 |OrdNumL1:1600000014793695 |OrdNumL2:1500000015278894 |OrdNumL3:1700000014432720 |OrdNumL4:1800000014173637 |M2M:545.55
2024-May-21 09:33:17 |BANKNIFTY24522-46500-48000CE |TRDPARITY:400 |QTY:1 |ParityWas:70 |OpnCls:2 |OrdNumL1:1600000014789563 |OrdNumL2:1500000015278895 |OrdNumL3:1700000014432721 |OrdNumL4:1800000014173639 |M2M:545.55
2024-May-21 09:35:00 |BANKNIFTY24522-47100-48100CE |TRDPARITY:308 |QTY:2 |ParityWas:155 |OpnCls:2 |OrdNumL1:1600000016128521 |OrdNumL2:1600000016129644 |OrdNumL3:1800000015516291 |OrdNumL4:1800000015516292 |M2M:580.35
2024-May-21 09:41:50 |BANKNIFTY24522-48000-48100CE |TRDPARITY:160 |QTY:2 |ParityWas:120 |OpnCls:1 |OrdNumL1:1500000021404686 |OrdNumL2:1600000020609361 |OrdNumL3:1800000020130991 |OrdNumL4:1700000020624064 |M2M:598.95
2024-May-21 09:41:50 |BANKNIFTY24522-48000-48200CE |TRDPARITY:115 |QTY:2 |ParityWas:120 |OpnCls:1 |OrdNumL1:1500000021404703 |OrdNumL2:1500000021405083 |OrdNumL3:1700000020624067 |OrdNumL4:1700000020624069 |M2M:605.25
2024-May-21 09:42:09 |BANKNIFTY24522-46500-48000CE |TRDPARITY:110 |QTY:1 |ParityWas:70 |OpnCls:2 |OrdNumL1:1600000020909010 |OrdNumL2:1500000021719761 |OrdNumL3:1700000020933642 |OrdNumL4:1800000020436474 |M2M:580.95
2024-May-21 09:43:58 |BANKNIFTY24522-48600-48100PE |TRDPARITY:110 |QTY:2 |ParityWas:115 |OpnCls:2 |OrdNumL1:1700000021999996 |OrdNumL2:1800000021470144 |OrdNumL3:1600000021880653 |OrdNumL4:1500000022764014 |M2M:573.45
2024-May-21 09:44:54 |BANKNIFTY24MAY-48800-48200PE |TRDPARITY:705 |QTY:1 |ParityWas:250 |OpnCls:2 |OrdNumL1:1400000013629822 |OrdNumL2:1400000013663622 |OrdNumL3:1400000013663626 |OrdNumL4:1400000013663628 |M2M:644.55
