--------------------2024-May-21 07:54:07------------------------------------
2024-May-21 09:21:54 |BANKNIFTY24MAY-46000-48300CE |TRDPARITY:1295 |QTY:1 |ParityWas:1185 |OpnCls:1 |OrdNumL1:1400000002638904 |OrdNumL2:1400000002643926 |OrdNumL3:1400000002643928 |OrdNumL4:1400000002643929 |M2M:774.45
2024-May-21 09:22:05 |BANKNIFTY24522-49000-48200PE |TRDPARITY:375 |QTY:2 |ParityWas:295 |OpnCls:1 |OrdNumL1:1700000005616588 |OrdNumL2:1700000005616670 |OrdNumL3:1500000005840635 |OrdNumL4:1500000005840636 |M2M:851.55
2024-May-21 09:22:16 |BANKNIFTY24MAY-47100-48300CE |TRDPARITY:1855 |QTY:1 |ParityWas:300 |OpnCls:2 |OrdNumL1:1400000002811542 |OrdNumL2:1400000002899674 |OrdNumL3:1400000002899676 |OrdNumL4:1400000002899677 |M2M:1084.65
2024-May-21 09:25:52 |BANKNIFTY24MAY-48900-48500PE |TRDPARITY:510 |QTY:1 |ParityWas:470 |OpnCls:1 |OrdNumL1:1400000004540771 |OrdNumL2:1400000004541183 |OrdNumL3:1400000004541184 |OrdNumL4:1400000004541185 |M2M:1131.00
2024-May-21 09:30:58 |BANKNIFTY24522-48900-48100PE |TRDPARITY:240 |QTY:2 |ParityWas:155 |OpnCls:2 |OrdNumL1:1800000012275350 |OrdNumL2:1800000012276412 |OrdNumL3:1600000012849236 |OrdNumL4:1600000012849244 |M2M:1200.30
2024-May-21 09:30:58 |BANKNIFTY24522-48900-48000PE |TRDPARITY:280 |QTY:2 |ParityWas:130 |OpnCls:2 |OrdNumL1:1800000012275496 |OrdNumL2:1700000012441156 |OrdNumL3:1500000013251543 |OrdNumL4:1600000012849246 |M2M:1200.30
2024-May-21 09:30:58 |BANKNIFTY24522-48900-48200PE |TRDPARITY:215 |QTY:2 |ParityWas:155 |OpnCls:2 |OrdNumL1:1800000012275590 |OrdNumL2:1700000012441157 |OrdNumL3:1500000013251549 |OrdNumL4:1600000012849254 |M2M:1200.30
2024-May-21 09:31:24 |BANKNIFTY24522-49000-48200PE |TRDPARITY:320 |QTY:2 |ParityWas:310 |OpnCls:1 |OrdNumL1:1700000012797109 |OrdNumL2:1700000012797532 |OrdNumL3:1500000013621289 |OrdNumL4:1500000013621291 |M2M:1259.40
2024-May-21 09:34:32 |BANKNIFTY24522-46800-48100CE |TRDPARITY:160 |QTY:2 |ParityWas:145 |OpnCls:2 |OrdNumL1:1500000016306163 |OrdNumL2:1600000015779472 |OrdNumL3:1800000015158763 |OrdNumL4:1700000015454557 |M2M:1236.60
2024-May-21 09:39:48 |BANKNIFTY24522-49000-48000PE |TRDPARITY:225 |QTY:2 |ParityWas:315 |OpnCls:1 |OrdNumL1:1700000019075596 |OrdNumL2:1700000019076509 |OrdNumL3:1500000019818419 |OrdNumL4:1500000019818424 |M2M:1269.90
2024-May-21 09:40:42 |BANKNIFTY24522-49200-48000PE |TRDPARITY:460 |QTY:2 |ParityWas:360 |OpnCls:1 |OrdNumL1:1700000019892758 |OrdNumL2:1700000019894224 |OrdNumL3:1500000020658887 |OrdNumL4:1500000020658889 |M2M:1369.80
2024-May-21 09:41:29 |BANKNIFTY24522-48400-48100PE |TRDPARITY:55 |QTY:2 |ParityWas:125 |OpnCls:2 |OrdNumL1:1700000020386658 |OrdNumL2:1800000019895440 |OrdNumL3:1600000020374752 |OrdNumL4:1500000021159114 |M2M:1351.50
2024-May-21 09:41:50 |BANKNIFTY24522-48000-48100CE |TRDPARITY:153 |QTY:2 |ParityWas:160 |OpnCls:1 |OrdNumL1:1500000021404701 |OrdNumL2:1600000020609363 |OrdNumL3:1800000020130993 |OrdNumL4:1700000020624066 |M2M:1368.00
