--------------------2024-May-21 07:45:05------------------------------------
2024-May-21 09:15:53 |FINNIFTY24521-21350-21450CE |TRDPARITY:45 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000001516615 |OrdNumL2:1200000001516631 |OrdNumL3:1900000001398780 |OrdNumL4:1900000001398781 |M2M:475.65
2024-May-21 09:15:53 |FINNIFTY24521-21250-21450CE |TRDPARITY:65 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:1200000001516485 |OrdNumL2:1200000001516770 |OrdNumL3:1900000001398947 |OrdNumL4:1900000001398948 |M2M:482.45
2024-May-21 09:15:53 |FINNIFTY24521-21400-21450CE |TRDPARITY:45 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1200000001516618 |OrdNumL2:1200000001516902 |OrdNumL3:1900000001399089 |OrdNumL4:1900000001399090 |M2M:487.25
2024-May-21 09:15:53 |FINNIFTY24521-21350-21450CE |TRDPARITY:55 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000001516894 |OrdNumL2:1200000001516932 |OrdNumL3:1900000001399202 |OrdNumL4:1900000001399203 |M2M:494.05
2024-May-21 09:15:53 |FINNIFTY24521-21400-21450CE |TRDPARITY:30 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1200000001517268 |OrdNumL2:1200000001517528 |OrdNumL3:1900000001399841 |OrdNumL4:1900000001399843 |M2M:492.85
2024-May-21 09:15:53 |FINNIFTY24521-21450-21500CE |TRDPARITY:50 |QTY:1 |ParityWas:45 |OpnCls:1 |OrdNumL1:1200000001529452 |OrdNumL2:1200000001529701 |OrdNumL3:1900000001409469 |OrdNumL4:1900000001409470 |M2M:502.05
2024-May-21 09:15:55 |FINNIFTY24521-21300-21450CE |TRDPARITY:65 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000001566539 |OrdNumL2:1200000001568462 |OrdNumL3:1900000001442551 |OrdNumL4:1900000001442552 |M2M:510.45
2024-May-21 09:15:55 |FINNIFTY24521-21300-21450CE |TRDPARITY:60 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000001568630 |OrdNumL2:1200000001569079 |OrdNumL3:1900000001443388 |OrdNumL4:1900000001443389 |M2M:516.85
2024-May-21 09:15:55 |FINNIFTY24521-21350-21450CE |TRDPARITY:45 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000001564953 |OrdNumL2:1200000001569341 |OrdNumL3:1900000001443810 |OrdNumL4:1900000001443812 |M2M:519.65
2024-May-21 09:15:55 |FINNIFTY24521-21700-21500PE |TRDPARITY:50 |QTY:1 |ParityWas:40 |OpnCls:1 |OrdNumL1:1900000001445695 |OrdNumL2:1900000001446512 |OrdNumL3:1200000001572818 |OrdNumL4:1200000001572819 |M2M:526.45
2024-May-21 09:15:55 |FINNIFTY24521-21350-21450CE |TRDPARITY:55 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000001572771 |OrdNumL2:1200000001575449 |OrdNumL3:1900000001448337 |OrdNumL4:1900000001448338 |M2M:533.25
2024-May-21 09:15:55 |FINNIFTY24521-21350-21450CE |TRDPARITY:45 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000001578907 |OrdNumL2:1200000001579125 |OrdNumL3:1900000001450896 |OrdNumL4:1900000001450897 |M2M:536.05
2024-May-21 09:15:55 |FINNIFTY24521-21350-21450CE |TRDPARITY:35 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000001579142 |OrdNumL2:1200000001579164 |OrdNumL3:1900000001450913 |OrdNumL4:1900000001450914 |M2M:534.85
2024-May-21 09:15:56 |FINNIFTY24521-21300-21450CE |TRDPARITY:60 |QTY:1 |ParityWas:65 |OpnCls:2 |OrdNumL1:1200000001580308 |OrdNumL2:1200000001581029 |OrdNumL3:1900000001452919 |OrdNumL4:1900000001452922 |M2M:541.25
2024-May-21 09:15:56 |FINNIFTY24521-21350-21450CE |TRDPARITY:50 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000001582052 |OrdNumL2:1200000001582524 |OrdNumL3:1900000001454527 |OrdNumL4:1900000001454528 |M2M:550.85
