--------------------2024-May-21 07:52:07------------------------------------
2024-May-21 09:15:01 |NIFTY24523-22400-22600CE |TRDPARITY:260 |QTY:3 |ParityWas:60 |OpnCls:2 |OrdNumL1:1000000000010878 |OrdNumL2:1000000000011054 |OrdNumL3:2000000000006140 |OrdNumL4:2000000000006141 |M2M:150.00
2024-May-21 09:15:03 |NIFTY24523-22300-22400CE |TRDPARITY:361 |QTY:3 |ParityWas:90 |OpnCls:2 |OrdNumL1:1100000000014093 |OrdNumL2:1000000000020661 |OrdNumL3:2000000000014906 |OrdNumL4:2100000000015248 |M2M:370.50
2024-May-21 09:15:04 |NIFTY24523-22300-22500CE |TRDPARITY:95 |QTY:3 |ParityWas:75 |OpnCls:2 |OrdNumL1:1100000000017728 |OrdNumL2:1100000000018232 |OrdNumL3:2100000000019034 |OrdNumL4:2100000000019035 |M2M:393.00
2024-May-21 09:15:04 |NIFTY24523-22300-22500CE |TRDPARITY:230 |QTY:3 |ParityWas:75 |OpnCls:2 |OrdNumL1:1100000000018461 |OrdNumL2:1100000000018487 |OrdNumL3:2100000000019208 |OrdNumL4:2100000000019213 |M2M:783.75
2024-May-21 09:15:04 |NIFTY24523-22300-22600CE |TRDPARITY:424 |QTY:3 |ParityWas:75 |OpnCls:2 |OrdNumL1:1100000000018464 |OrdNumL2:1000000000024514 |OrdNumL3:2000000000018557 |OrdNumL4:2100000000019221 |M2M:783.75
2024-May-21 09:15:04 |NIFTY24523-22600-22400PE |TRDPARITY:515 |QTY:3 |ParityWas:70 |OpnCls:2 |OrdNumL1:2000000000018254 |OrdNumL2:2000000000019901 |OrdNumL3:1000000000026005 |OrdNumL4:1000000000026010 |M2M:1125.00
2024-May-21 09:15:04 |NIFTY24523-22400-22600CE |TRDPARITY:211 |QTY:3 |ParityWas:60 |OpnCls:2 |OrdNumL1:1000000000026122 |OrdNumL2:1000000000027085 |OrdNumL3:2000000000020866 |OrdNumL4:2000000000020867 |M2M:1238.25
2024-May-21 09:15:05 |NIFTY24MAY-22300-22400CE |TRDPARITY:355 |QTY:2 |ParityWas:145 |OpnCls:2 |OrdNumL1:1200000000176576 |OrdNumL2:1200000000176855 |OrdNumL3:1200000000176857 |OrdNumL4:1200000000176858 |M2M:1367.25
2024-May-21 09:15:07 |NIFTY24523-22300-22600CE |TRDPARITY:130 |QTY:2 |ParityWas:75 |OpnCls:2 |OrdNumL1:1100000000038132 |OrdNumL2:1000000000044693 |OrdNumL3:2000000000039292 |OrdNumL4:2100000000038845 |M2M:1398.25
2024-May-21 09:15:08 |NIFTY24523-22350-22400CE |TRDPARITY:185 |QTY:1 |ParityWas:120 |OpnCls:1 |OrdNumL1:1100000000039430 |OrdNumL2:1000000000046754 |OrdNumL3:2000000000041538 |OrdNumL4:2100000000040810 |M2M:1430.00
2024-May-21 09:15:10 |NIFTY24523-22400-22500CE |TRDPARITY:7 |QTY:3 |ParityWas:55 |OpnCls:2 |OrdNumL1:1000000000060391 |OrdNumL2:1100000000054357 |OrdNumL3:2100000000055304 |OrdNumL4:2000000000056038 |M2M:1392.50
