--------------------2024-May-21 07:52:08------------------------------------
2024-May-21 09:15:17 |FINNIFTY24521-21200-21450CE |TRDPARITY:15 |QTY:1 |ParityWas:65 |OpnCls:2 |OrdNumL1:1200000000582869 |OrdNumL2:1200000000582959 |OrdNumL3:1900000000556833 |OrdNumL4:1900000000556841 |M2M:976.90
2024-May-21 09:15:18 |NIFTY24MAY-22800-22700PE |TRDPARITY:95 |QTY:1 |ParityWas:90 |OpnCls:2 |OrdNumL1:1200000000621103 |OrdNumL2:1200000000621989 |OrdNumL3:1200000000621990 |OrdNumL4:1200000000621991 |M2M:977.65
2024-May-21 09:15:20 |FINNIFTY24521-21600-21500PE |TRDPARITY:40 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1900000000646168 |OrdNumL2:1900000000647094 |OrdNumL3:1200000000669802 |OrdNumL4:1200000000669803 |M2M:978.85
2024-May-21 09:15:20 |NIFTY24523-22000-22400CE |TRDPARITY:245 |QTY:1 |ParityWas:205 |OpnCls:1 |OrdNumL1:1000000000110469 |OrdNumL2:1000000000110531 |OrdNumL3:2000000000106783 |OrdNumL4:2000000000106784 |M2M:1021.85
2024-May-21 09:15:20 |MIDCPNIFTY24MAY-11375-11350PE |TRDPARITY:95 |QTY:2 |ParityWas:45 |OpnCls:2 |OrdNumL1:1300000000052476 |OrdNumL2:1300000000056946 |OrdNumL3:1400000000078943 |OrdNumL4:1400000000078945 |M2M:1096.85
2024-May-21 09:15:24 |NIFTY24523-22150-22400CE |TRDPARITY:135 |QTY:1 |ParityWas:120 |OpnCls:1 |OrdNumL1:1100000000133109 |OrdNumL2:1000000000134157 |OrdNumL3:2000000000129392 |OrdNumL4:2100000000131722 |M2M:1114.10
2024-May-21 09:15:24 |NIFTY24523-22050-22500CE |TRDPARITY:187 |QTY:2 |ParityWas:180 |OpnCls:1 |OrdNumL1:1000000000137489 |OrdNumL2:1100000000141122 |OrdNumL3:2100000000135962 |OrdNumL4:2000000000133607 |M2M:1175.10
2024-May-21 09:15:24 |NIFTY24523-22050-22500CE |TRDPARITY:210 |QTY:2 |ParityWas:180 |OpnCls:1 |OrdNumL1:1000000000138394 |OrdNumL2:1100000000141740 |OrdNumL3:2100000000136529 |OrdNumL4:2000000000134277 |M2M:1247.60
2024-May-21 09:15:29 |FINNIFTY24521-21300-21550CE |TRDPARITY:70 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000000922205 |OrdNumL2:1200000000924060 |OrdNumL3:1900000000890342 |OrdNumL4:1900000000890344 |M2M:1256.40
2024-May-21 09:15:29 |NIFTY24523-22100-22500CE |TRDPARITY:205 |QTY:2 |ParityWas:175 |OpnCls:1 |OrdNumL1:1100000000175670 |OrdNumL2:1100000000176451 |OrdNumL3:2100000000165891 |OrdNumL4:2100000000165893 |M2M:1327.90
