--------------------2024-May-21 07:52:07------------------------------------
2024-May-21 09:18:25 |BANKNIFTY24522-47500-48200CE |TRDPARITY:120 |QTY:1 |ParityWas:245 |OpnCls:1 |OrdNumL1:1600000002189377 |OrdNumL2:1500000002240313 |OrdNumL3:1700000002297668 |OrdNumL4:1800000002265184 |M2M:1021.05
2024-May-21 09:18:25 |BANKNIFTY24522-47500-48500CE |TRDPARITY:140 |QTY:1 |ParityWas:300 |OpnCls:1 |OrdNumL1:1600000002189386 |OrdNumL2:1600000002189863 |OrdNumL3:1800000002265170 |OrdNumL4:1800000002265179 |M2M:1021.05
2024-May-21 09:18:25 |BANKNIFTY24522-47500-48200CE |TRDPARITY:200 |QTY:3 |ParityWas:245 |OpnCls:1 |OrdNumL1:1600000002189431 |OrdNumL2:1500000002240486 |OrdNumL3:1700000002297819 |OrdNumL4:1800000002265384 |M2M:1062.45
2024-May-21 09:18:25 |BANKNIFTY24522-47500-48000CE |TRDPARITY:145 |QTY:3 |ParityWas:245 |OpnCls:1 |OrdNumL1:1600000002189435 |OrdNumL2:1500000002240493 |OrdNumL3:1700000002297825 |OrdNumL4:1800000002265390 |M2M:1075.05
2024-May-21 09:18:25 |BANKNIFTY24522-47500-48500CE |TRDPARITY:275 |QTY:3 |ParityWas:300 |OpnCls:1 |OrdNumL1:1600000002189436 |OrdNumL2:1600000002190105 |OrdNumL3:1800000002265396 |OrdNumL4:1800000002265397 |M2M:1151.55
2024-May-21 09:18:25 |BANKNIFTY24522-47500-48100CE |TRDPARITY:45 |QTY:3 |ParityWas:245 |OpnCls:1 |OrdNumL1:1600000002189372 |OrdNumL2:1600000002189931 |OrdNumL3:1800000002265264 |OrdNumL4:1800000002265267 |M2M:1121.40
2024-May-21 09:18:40 |BANKNIFTY24522-46000-48100CE |TRDPARITY:965 |QTY:1 |ParityWas:350 |OpnCls:2 |OrdNumL1:1500000002423581 |OrdNumL2:1600000002380196 |OrdNumL3:1800000002479203 |OrdNumL4:1700000002510154 |M2M:1213.50
2024-May-21 09:18:45 |BANKNIFTY24522-50000-48100PE |TRDPARITY:700 |QTY:3 |ParityWas:530 |OpnCls:1 |OrdNumL1:1700000002533985 |OrdNumL2:1800000002557574 |OrdNumL3:1600000002446941 |OrdNumL4:1500000002507591 |M2M:1631.85
2024-May-21 09:18:45 |BANKNIFTY24522-50000-48200PE |TRDPARITY:815 |QTY:2 |ParityWas:530 |OpnCls:1 |OrdNumL1:1700000002575138 |OrdNumL2:1700000002595106 |OrdNumL3:1500000002507596 |OrdNumL4:1500000002507597 |M2M:1631.85
2024-May-21 09:20:11 |BANKNIFTY24522-49000-48200PE |TRDPARITY:320 |QTY:1 |ParityWas:300 |OpnCls:1 |OrdNumL1:1700000003775049 |OrdNumL2:1700000003775125 |OrdNumL3:1500000003671557 |OrdNumL4:1500000003671558 |M2M:1661.70
2024-May-21 09:20:20 |BANKNIFTY24522-47500-48200CE |TRDPARITY:175 |QTY:1 |ParityWas:155 |OpnCls:2 |OrdNumL1:1600000003710643 |OrdNumL2:1500000003788369 |OrdNumL3:1700000003896114 |OrdNumL4:1800000003806103 |M2M:1664.40
2024-May-21 09:20:31 |BANKNIFTY24522-47800-48200CE |TRDPARITY:125 |QTY:2 |ParityWas:125 |OpnCls:2 |OrdNumL1:1500000003948632 |OrdNumL2:1500000003948635 |OrdNumL3:1700000004044831 |OrdNumL4:1700000004044832 |M2M:1664.40
2024-May-21 09:20:38 |BANKNIFTY24522-47400-48200CE |TRDPARITY:223 |QTY:3 |ParityWas:175 |OpnCls:2 |OrdNumL1:1500000004054515 |OrdNumL2:1500000004054583 |OrdNumL3:1700000004141961 |OrdNumL4:1700000004141963 |M2M:1689.60
