--------------------2024-May-21 07:50:05------------------------------------
--------------------2024-May-21 08:38:29------------------------------------
2024-May-21 09:15:31 |FINNIFTY24521-21400-21550CE |TRDPARITY:70 |QTY:2 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000000990703 |OrdNumL2:1200000000991243 |OrdNumL3:1900000000944544 |OrdNumL4:1900000000944545 |M2M:1480.10
2024-May-21 09:15:33 |FINNIFTY24521-21750-21450PE |TRDPARITY:55 |QTY:1 |ParityWas:55 |OpnCls:1 |OrdNumL1:1900000000979335 |OrdNumL2:1900000000983929 |OrdNumL3:1200000001030762 |OrdNumL4:1200000001030770 |M2M:1488.50
2024-May-21 09:15:40 |FINNIFTY24521-21300-21450CE |TRDPARITY:70 |QTY:2 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000001223483 |OrdNumL2:1200000001223552 |OrdNumL3:1900000001139285 |OrdNumL4:1900000001139286 |M2M:1509.30
2024-May-21 09:15:45 |FINNIFTY24521-21450-21500CE |TRDPARITY:30 |QTY:2 |ParityWas:50 |OpnCls:1 |OrdNumL1:1200000001341224 |OrdNumL2:1200000001341327 |OrdNumL3:1900000001241185 |OrdNumL4:1900000001241187 |M2M:1511.70
2024-May-21 09:15:56 |FINNIFTY24521-21300-21550CE |TRDPARITY:50 |QTY:2 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000001600111 |OrdNumL2:1200000001600143 |OrdNumL3:1900000001471012 |OrdNumL4:1900000001471013 |M2M:1513.30
2024-May-21 09:15:57 |FINNIFTY24521-21300-21500CE |TRDPARITY:45 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000001607158 |OrdNumL2:1200000001607204 |OrdNumL3:1900000001478016 |OrdNumL4:1900000001478017 |M2M:1513.70
2024-May-21 09:16:04 |BANKNIFTY24522-48200-48000PE |TRDPARITY:172 |QTY:2 |ParityWas:150 |OpnCls:1 |OrdNumL1:1700000000616497 |OrdNumL2:1700000000616513 |OrdNumL3:1500000000623726 |OrdNumL4:1500000000623730 |M2M:1534.70
2024-May-21 09:16:04 |BANKNIFTY24522-47800-48200CE |TRDPARITY:175 |QTY:2 |ParityWas:160 |OpnCls:1 |OrdNumL1:1500000000623761 |OrdNumL2:1500000000623789 |OrdNumL3:1700000000616588 |OrdNumL4:1700000000616589 |M2M:1556.00
2024-May-21 09:16:05 |FINNIFTY24521-21650-21550PE |TRDPARITY:-10 |QTY:2 |ParityWas:40 |OpnCls:2 |OrdNumL1:1900000001682128 |OrdNumL2:1900000001682830 |OrdNumL3:1200000001840624 |OrdNumL4:1200000001840626 |M2M:1515.20
2024-May-21 09:16:07 |FINNIFTY24521-21350-21450CE |TRDPARITY:60 |QTY:1 |ParityWas:35 |OpnCls:2 |OrdNumL1:1200000001885315 |OrdNumL2:1200000001885475 |OrdNumL3:1900000001732561 |OrdNumL4:1900000001732562 |M2M:1524.80
2024-May-21 09:16:10 |FINNIFTY24521-21700-21550PE |TRDPARITY:55 |QTY:2 |ParityWas:55 |OpnCls:1 |OrdNumL1:1900000001807035 |OrdNumL2:1900000001807266 |OrdNumL3:1200000001962838 |OrdNumL4:1200000001962839 |M2M:1540.00
2024-May-21 09:16:40 |BANKNIFTY24522-47200-48100CE |TRDPARITY:280 |QTY:2 |ParityWas:190 |OpnCls:2 |OrdNumL1:1500000000971264 |OrdNumL2:1600000000925067 |OrdNumL3:1800000000952286 |OrdNumL4:1700000000979009 |M2M:1566.10
2024-May-21 09:16:56 |BANKNIFTY24522-48000-48100CE |TRDPARITY:162 |QTY:2 |ParityWas:150 |OpnCls:1 |OrdNumL1:1500000001138347 |OrdNumL2:1600000001078622 |OrdNumL3:1800000001124203 |OrdNumL4:1700000001153897 |M2M:1582.30
2024-May-21 09:17:04 |FINNIFTY24521-21800-21450PE |TRDPARITY:58 |QTY:2 |ParityWas:60 |OpnCls:2 |OrdNumL1:1900000002876943 |OrdNumL2:1900000002878580 |OrdNumL3:1200000003113289 |OrdNumL4:1200000003113295 |M2M:1579.10
2024-May-21 09:17:18 |FINNIFTY24521-21400-21500CE |TRDPARITY:63 |QTY:2 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000003429530 |OrdNumL2:1200000003430114 |OrdNumL3:1900000003218666 |OrdNumL4:1900000003218672 |M2M:1608.70
