--------------------2024-May-21 07:52:05------------------------------------
--------------------2024-May-21 07:57:06------------------------------------
2024-May-21 09:15:15 |BANKNIFTY24522-47700-47900CE |TRDPARITY:320 |QTY:1 |ParityWas:145 |OpnCls:2 |OrdNumL1:1600000000126301 |OrdNumL2:1600000000126317 |OrdNumL3:1800000000129014 |OrdNumL4:1800000000129015 |M2M:2531.80
2024-May-21 09:15:21 |FINNIFTY24521-21600-21500PE |TRDPARITY:65 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1900000000690523 |OrdNumL2:1900000000691847 |OrdNumL3:1200000000719508 |OrdNumL4:1200000000719509 |M2M:2542.60
2024-May-21 09:15:24 |FINNIFTY24521-21850-21550PE |TRDPARITY:300 |QTY:1 |ParityWas:75 |OpnCls:2 |OrdNumL1:1900000000731358 |OrdNumL2:1900000000780778 |OrdNumL3:1200000000807447 |OrdNumL4:1200000000807457 |M2M:2688.60
2024-May-21 09:15:24 |FINNIFTY24521-21850-21450PE |TRDPARITY:200 |QTY:1 |ParityWas:65 |OpnCls:2 |OrdNumL1:1900000000731366 |OrdNumL2:1900000000780788 |OrdNumL3:1200000000807467 |OrdNumL4:1200000000807470 |M2M:2688.60
2024-May-21 09:15:26 |FINNIFTY24521-21350-21500CE |TRDPARITY:35 |QTY:1 |ParityWas:35 |OpnCls:2 |OrdNumL1:1200000000857373 |OrdNumL2:1200000000857579 |OrdNumL3:1900000000828481 |OrdNumL4:1900000000828482 |M2M:2686.20
2024-May-21 09:15:26 |FINNIFTY24521-21350-21500CE |TRDPARITY:45 |QTY:1 |ParityWas:35 |OpnCls:2 |OrdNumL1:1200000000857595 |OrdNumL2:1200000000857676 |OrdNumL3:1900000000828540 |OrdNumL4:1900000000828541 |M2M:2687.80
2024-May-21 09:15:31 |FINNIFTY24521-21650-21550PE |TRDPARITY:80 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1900000000945382 |OrdNumL2:1900000000945499 |OrdNumL3:1200000000992446 |OrdNumL4:1200000000992447 |M2M:2703.40
2024-May-21 09:15:35 |BANKNIFTY24522-47700-47900CE |TRDPARITY:175 |QTY:1 |ParityWas:195 |OpnCls:2 |OrdNumL1:1600000000307232 |OrdNumL2:1600000000307286 |OrdNumL3:1800000000316260 |OrdNumL4:1800000000316261 |M2M:2709.10
2024-May-21 09:15:35 |FINNIFTY24521-21300-21500CE |TRDPARITY:70 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1200000001100962 |OrdNumL2:1200000001101018 |OrdNumL3:1900000001040557 |OrdNumL4:1900000001040558 |M2M:2719.50
2024-May-21 09:15:41 |FINNIFTY24521-21350-21500CE |TRDPARITY:60 |QTY:1 |ParityWas:30 |OpnCls:2 |OrdNumL1:1200000001250949 |OrdNumL2:1200000001261190 |OrdNumL3:1900000001168021 |OrdNumL4:1900000001168023 |M2M:2727.90
2024-May-21 09:15:43 |FINNIFTY24521-21300-21500CE |TRDPARITY:65 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1200000001307338 |OrdNumL2:1200000001307428 |OrdNumL3:1900000001211403 |OrdNumL4:1900000001211404 |M2M:2736.30
2024-May-21 09:15:43 |FINNIFTY24521-21300-21500CE |TRDPARITY:55 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1200000001307750 |OrdNumL2:1200000001308185 |OrdNumL3:1900000001212134 |OrdNumL4:1900000001212136 |M2M:2740.70
