--------------------2024-May-21 07:50:09------------------------------------
2024-May-21 09:15:12 |FINNIFTY24521-21750-21500PE |TRDPARITY:75 |QTY:2 |ParityWas:55 |OpnCls:2 |OrdNumL1:1900000000413602 |OrdNumL2:1900000000416494 |OrdNumL3:1200000000442500 |OrdNumL4:1200000000442502 |M2M:953.25
2024-May-21 09:15:13 |FINNIFTY24521-21400-21500CE |TRDPARITY:180 |QTY:2 |ParityWas:65 |OpnCls:1 |OrdNumL1:1200000000450713 |OrdNumL2:1200000000451003 |OrdNumL3:1900000000425545 |OrdNumL4:1900000000425549 |M2M:1073.25
2024-May-21 09:15:13 |NIFTY24523-22400-22500CE |TRDPARITY:29 |QTY:3 |ParityWas:40 |OpnCls:2 |OrdNumL1:1000000000076605 |OrdNumL2:1100000000072185 |OrdNumL3:2100000000072181 |OrdNumL4:2000000000071913 |M2M:1052.25
2024-May-21 09:15:15 |FINNIFTY24521-21300-21450CE |TRDPARITY:55 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000000534375 |OrdNumL2:1200000000534391 |OrdNumL3:1900000000508289 |OrdNumL4:1900000000508290 |M2M:1056.25
2024-May-21 09:15:15 |FINNIFTY24521-21350-21450CE |TRDPARITY:50 |QTY:2 |ParityWas:50 |OpnCls:2 |OrdNumL1:1200000000532242 |OrdNumL2:1200000000534525 |OrdNumL3:1900000000508433 |OrdNumL4:1900000000508434 |M2M:1064.25
2024-May-21 09:15:18 |NIFTY24523-22000-22550CE |TRDPARITY:80 |QTY:2 |ParityWas:60 |OpnCls:2 |OrdNumL1:1000000000103279 |OrdNumL2:1100000000103244 |OrdNumL3:2100000000100405 |OrdNumL4:2000000000099134 |M2M:1052.75
2024-May-21 09:15:20 |FINNIFTY24521-21600-21500PE |TRDPARITY:35 |QTY:1 |ParityWas:35 |OpnCls:2 |OrdNumL1:1900000000647071 |OrdNumL2:1900000000647125 |OrdNumL3:1200000000669827 |OrdNumL4:1200000000669828 |M2M:1051.55
2024-May-21 09:15:24 |MIDCPNIFTY24MAY-11325-11300PE |TRDPARITY:85 |QTY:1 |ParityWas:70 |OpnCls:1 |OrdNumL1:1300000000067359 |OrdNumL2:1300000000067395 |OrdNumL3:1400000000094238 |OrdNumL4:1400000000094239 |M2M:1083.05
2024-May-21 09:15:29 |NIFTY24523-22100-22550CE |TRDPARITY:185 |QTY:3 |ParityWas:170 |OpnCls:1 |OrdNumL1:1100000000175567 |OrdNumL2:1100000000176445 |OrdNumL3:2100000000165880 |OrdNumL4:2100000000165882 |M2M:1176.80
2024-May-21 09:15:30 |FINNIFTY24521-21600-21450PE |TRDPARITY:55 |QTY:2 |ParityWas:40 |OpnCls:2 |OrdNumL1:1900000000922834 |OrdNumL2:1900000000923344 |OrdNumL3:1200000000965564 |OrdNumL4:1200000000965565 |M2M:1184.80
2024-May-21 09:15:30 |FINNIFTY24521-21600-21500PE |TRDPARITY:33 |QTY:2 |ParityWas:35 |OpnCls:2 |OrdNumL1:1900000000922853 |OrdNumL2:1900000000923355 |OrdNumL3:1200000000965588 |OrdNumL4:1200000000965591 |M2M:1184.80
2024-May-21 09:15:31 |FINNIFTY24521-21400-21550CE |TRDPARITY:45 |QTY:2 |ParityWas:70 |OpnCls:1 |OrdNumL1:1200000000990555 |OrdNumL2:1200000000990702 |OrdNumL3:1900000000944172 |OrdNumL4:1900000000944173 |M2M:1197.60
2024-May-21 09:15:32 |NIFTY24523-22000-22450CE |TRDPARITY:93 |QTY:2 |ParityWas:60 |OpnCls:2 |OrdNumL1:1000000000187587 |OrdNumL2:1000000000188648 |OrdNumL3:2000000000179313 |OrdNumL4:2000000000179314 |M2M:1219.10
2024-May-21 09:15:32 |NIFTY24523-22000-22550CE |TRDPARITY:145 |QTY:2 |ParityWas:65 |OpnCls:2 |OrdNumL1:1000000000187379 |OrdNumL2:1100000000195413 |OrdNumL3:2100000000182837 |OrdNumL4:2000000000179320 |M2M:1219.10
2024-May-21 09:15:32 |NIFTY24523-22000-22500CE |TRDPARITY:115 |QTY:2 |ParityWas:60 |OpnCls:2 |OrdNumL1:1000000000187514 |OrdNumL2:1100000000195415 |OrdNumL3:2100000000182839 |OrdNumL4:2000000000179324 |M2M:1219.10
2024-May-21 09:15:40 |NIFTY24523-22150-22450CE |TRDPARITY:165 |QTY:1 |ParityWas:160 |OpnCls:1 |OrdNumL1:1100000000260417 |OrdNumL2:1000000000248232 |OrdNumL3:2000000000232453 |OrdNumL4:2100000000238477 |M2M:1244.60
2024-May-21 09:15:41 |FINNIFTY24521-21300-21450CE |TRDPARITY:60 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1200000001259204 |OrdNumL2:1200000001261280 |OrdNumL3:1900000001168070 |OrdNumL4:1900000001168071 |M2M:1251.40
2024-May-21 09:15:43 |NIFTY24523-22200-22500CE |TRDPARITY:150 |QTY:3 |ParityWas:150 |OpnCls:1 |OrdNumL1:1000000000270451 |OrdNumL2:1100000000284320 |OrdNumL3:2100000000258944 |OrdNumL4:2000000000253433 |M2M:1320.40
2024-May-21 09:15:48 |NIFTY24523-22000-22450CE |TRDPARITY:60 |QTY:2 |ParityWas:60 |OpnCls:2 |OrdNumL1:1000000000304594 |OrdNumL2:1000000000305109 |OrdNumL3:2000000000286977 |OrdNumL4:2000000000286978 |M2M:1299.40
2024-May-21 09:15:50 |NIFTY24523-21800-22500CE |TRDPARITY:270 |QTY:3 |ParityWas:245 |OpnCls:1 |OrdNumL1:1000000000310662 |OrdNumL2:1100000000336000 |OrdNumL3:2100000000301749 |OrdNumL4:2000000000298083 |M2M:1442.65
2024-May-21 09:15:53 |NIFTY24523-22300-22450CE |TRDPARITY:125 |QTY:3 |ParityWas:95 |OpnCls:1 |OrdNumL1:1100000000356754 |OrdNumL2:1000000000337310 |OrdNumL3:2000000000316213 |OrdNumL4:2100000000319656 |M2M:1492.90
2024-May-21 09:15:53 |FINNIFTY24521-21300-21450CE |TRDPARITY:45 |QTY:2 |ParityWas:50 |OpnCls:2 |OrdNumL1:1200000001535119 |OrdNumL2:1200000001535189 |OrdNumL3:1900000001413433 |OrdNumL4:1900000001413434 |M2M:1494.50
2024-May-21 09:15:55 |FINNIFTY24521-21300-21450CE |TRDPARITY:60 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1200000001558486 |OrdNumL2:1200000001558681 |OrdNumL3:1900000001432004 |OrdNumL4:1900000001432005 |M2M:1501.30
2024-May-21 09:15:55 |FINNIFTY24521-21300-21450CE |TRDPARITY:50 |QTY:2 |ParityWas:50 |OpnCls:2 |OrdNumL1:1200000001559375 |OrdNumL2:1200000001559640 |OrdNumL3:1900000001432991 |OrdNumL4:1900000001432992 |M2M:1506.90
