--------------------2024-May-21 07:48:05------------------------------------
--------------------2024-May-21 07:56:21------------------------------------
2024-May-21 09:15:13 |NIFTY24523-22400-22500CE |TRDPARITY:40 |QTY:2 |ParityWas:35 |OpnCls:2 |OrdNumL1:1000000000076604 |OrdNumL2:1100000000072183 |OrdNumL3:2100000000072179 |OrdNumL4:2000000000071911 |M2M:1875.00
2024-May-21 09:15:15 |NIFTY24MAY-22100-22550CE |TRDPARITY:335 |QTY:1 |ParityWas:285 |OpnCls:1 |OrdNumL1:1200000000495418 |OrdNumL2:1200000000528637 |OrdNumL3:1200000000528642 |OrdNumL4:1200000000528644 |M2M:1937.00
2024-May-21 09:15:25 |NIFTY24JUN-22400-22500CE |TRDPARITY:543 |QTY:3 |ParityWas:210 |OpnCls:2 |OrdNumL1:1900000000796846 |OrdNumL2:1900000000803930 |OrdNumL3:1900000000803931 |OrdNumL4:1900000000803932 |M2M:2156.00
2024-May-21 09:15:30 |NIFTY24523-22000-22450CE |TRDPARITY:150 |QTY:2 |ParityWas:80 |OpnCls:2 |OrdNumL1:1000000000172655 |OrdNumL2:1000000000172670 |OrdNumL3:2000000000163877 |OrdNumL4:2000000000163880 |M2M:2179.50
2024-May-21 09:15:32 |NIFTY24523-22000-22450CE |TRDPARITY:135 |QTY:2 |ParityWas:80 |OpnCls:2 |OrdNumL1:1000000000187172 |OrdNumL2:1000000000188649 |OrdNumL3:2000000000179315 |OrdNumL4:2000000000179317 |M2M:2195.50
2024-May-21 09:15:41 |NIFTY24606-22400-22500CE |TRDPARITY:130 |QTY:2 |ParityWas:225 |OpnCls:2 |OrdNumL1:1900000001139444 |OrdNumL2:1900000001157776 |OrdNumL3:1900000001157777 |OrdNumL4:1900000001157779 |M2M:2161.50
2024-May-21 09:15:50 |NIFTY24523-21800-22500CE |TRDPARITY:260 |QTY:2 |ParityWas:240 |OpnCls:1 |OrdNumL1:1000000000310747 |OrdNumL2:1100000000335999 |OrdNumL3:2100000000301747 |OrdNumL4:2000000000298082 |M2M:2252.00
2024-May-21 09:16:10 |NIFTY24MAY-23000-22650PE |TRDPARITY:85 |QTY:2 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000001975190 |OrdNumL2:1200000001977831 |OrdNumL3:1200000001977832 |OrdNumL4:1200000001977833 |M2M:2184.50
2024-May-21 09:16:10 |NIFTY24MAY-23000-22550PE |TRDPARITY:60 |QTY:2 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000001970576 |OrdNumL2:1200000001977834 |OrdNumL3:1200000001977835 |OrdNumL4:1200000001977836 |M2M:2184.50
2024-May-21 09:16:10 |NIFTY24MAY-23000-22600PE |TRDPARITY:57 |QTY:2 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000001976980 |OrdNumL2:1200000001977837 |OrdNumL3:1200000001977838 |OrdNumL4:1200000001977839 |M2M:2184.50
