--------------------2024-May-21 07:50:05------------------------------------
--------------------2024-May-21 07:56:46------------------------------------
2024-May-21 09:16:04 |BANKNIFTY24522-47500-48000CE |TRDPARITY:145 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000000586907 |OrdNumL2:1500000000624583 |OrdNumL3:1700000000617508 |OrdNumL4:1800000000585567 |M2M:653.40
2024-May-21 09:16:11 |BANKNIFTY24522-49000-48200PE |TRDPARITY:270 |QTY:1 |ParityWas:260 |OpnCls:1 |OrdNumL1:1700000000696918 |OrdNumL2:1700000000697055 |OrdNumL3:1500000000702054 |OrdNumL4:1500000000702055 |M2M:675.75
2024-May-21 09:16:12 |BANKNIFTY24522-48900-48100PE |TRDPARITY:157 |QTY:2 |ParityWas:150 |OpnCls:1 |OrdNumL1:1800000000677328 |OrdNumL2:1800000000677955 |OrdNumL3:1600000000675812 |OrdNumL4:1600000000675813 |M2M:710.85
2024-May-21 09:16:12 |BANKNIFTY24522-48900-48000PE |TRDPARITY:185 |QTY:2 |ParityWas:150 |OpnCls:1 |OrdNumL1:1800000000676937 |OrdNumL2:1700000000707812 |OrdNumL3:1500000000713683 |OrdNumL4:1600000000675814 |M2M:710.85
2024-May-21 09:16:17 |BANKNIFTY24522-47500-48000CE |TRDPARITY:95 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000000727242 |OrdNumL2:1500000000766651 |OrdNumL3:1700000000765066 |OrdNumL4:1800000000736094 |M2M:701.55
2024-May-21 09:16:33 |BANKNIFTY24JUN-47800-48500CE |TRDPARITY:3165 |QTY:1 |ParityWas:2525 |OpnCls:1 |OrdNumL1:1300000000218085 |OrdNumL2:1300000000242515 |OrdNumL3:1300000000242524 |OrdNumL4:1300000000242526 |M2M:1085.40
2024-May-21 09:16:40 |BANKNIFTY24522-47200-48200CE |TRDPARITY:200 |QTY:2 |ParityWas:140 |OpnCls:2 |OrdNumL1:1500000000976015 |OrdNumL2:1500000000976616 |OrdNumL3:1700000000980560 |OrdNumL4:1700000000980562 |M2M:1080.90
2024-May-21 09:16:40 |BANKNIFTY24522-47200-48000CE |TRDPARITY:167 |QTY:2 |ParityWas:140 |OpnCls:2 |OrdNumL1:1500000000974427 |OrdNumL2:1500000000976622 |OrdNumL3:1700000000980565 |OrdNumL4:1700000000980567 |M2M:1080.90
2024-May-21 09:16:45 |BANKNIFTY24522-49000-48000PE |TRDPARITY:290 |QTY:2 |ParityWas:280 |OpnCls:1 |OrdNumL1:1700000001025916 |OrdNumL2:1700000001027323 |OrdNumL3:1500000001022232 |OrdNumL4:1500000001022235 |M2M:1132.80
2024-May-21 09:16:48 |BANKNIFTY24522-47500-48100CE |TRDPARITY:150 |QTY:1 |ParityWas:225 |OpnCls:1 |OrdNumL1:1600000000987613 |OrdNumL2:1600000000987719 |OrdNumL3:1800000001017497 |OrdNumL4:1800000001017498 |M2M:1241.40
